year,state,category,heat_wave_deaths,source
2019,Odisha,State,84,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Odisha,State,13,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Odisha,State,15,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Odisha,State,38,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Punjab,State,38,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Punjab,State,90,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Punjab,State,110,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Punjab,State,91,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Punjab,State,130,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Rajasthan,State,43,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Rajasthan,State,54,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Rajasthan,State,23,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Rajasthan,State,1,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Rajasthan,State,12,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Sikkim,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Sikkim,State,1,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Sikkim,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Sikkim,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Sikkim,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Tamil Nadu,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Tamil Nadu,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Tamil Nadu,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Tamil Nadu,State,2,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Tamil Nadu,State,2,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Telangana,State,107,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Telangana,State,156,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Telangana,State,98,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Telangana,State,43,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Telangana,State,62,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Tripura,State,1,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Tripura,State,1,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Tripura,State,2,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Tripura,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Tripura,State,2,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Uttar Pradesh,State,176,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Uttar Pradesh,State,117,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Uttar Pradesh,State,50,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Uttar Pradesh,State,35,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Uttar Pradesh,State,130,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Uttarakhand,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Uttarakhand,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Uttarakhand,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Uttarakhand,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Uttarakhand,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,West Bengal,State,46,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,West Bengal,State,49,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,West Bengal,State,6,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,West Bengal,State,11,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,West Bengal,State,18,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Andman and Nicobar Islands,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Andman and Nicobar Islands,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Andman and Nicobar Islands,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Andman and Nicobar Islands,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Andman and Nicobar Islands,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Chandigarh,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Chandigarh,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Chandigarh,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Chandigarh,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Chandigarh,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Dadra and Nagar Haveli and Daman and Diu,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Dadra and Nagar Haveli and Daman and Diu,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Dadra and Nagar Haveli and Daman and Diu,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Dadra and Nagar Haveli and Daman and Diu,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Dadra and Nagar Haveli and Daman and Diu,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Delhi,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Delhi,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Delhi,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Delhi,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Delhi,Union Territory,1,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Jammu and Kashmir,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Jammu and Kashmir,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Jammu and Kashmir,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Jammu and Kashmir,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Jammu and Kashmir,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Ladakh,Union Territory,,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Ladakh,Union Territory,,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Ladakh,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Ladakh,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Ladakh,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Lakshadweep,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Lakshadweep,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Lakshadweep,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Lakshadweep,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Lakshadweep,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Puducherry,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Puducherry,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Puducherry,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Puducherry,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Puducherry,Union Territory,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
